"Order.ID","Customer.Name","Category","Sub.Category","City","Region","Sales","Discount","Profit","State","cost_price","Order_date"
"OD1","Harish","Oil & Masala","Masalas","Vellore","North",1254,0.12,401.28,"Tamil Nadu",853.74449339207,2017-11-08
"OD2","Sudha","Beverages","Health Drinks","Krishnagiri","South",749,0.18,149.8,"Tamil Nadu",600.280504908836,2017-11-08
"OD3","Hussain","Food Grains","Atta & Flour","Perambalur","West",2360,0.21,165.2,"Tamil Nadu",2199.41877943682,2017-06-12
"OD4","Jackson","Fruits & Veggies","Fresh Vegetables","Dharmapuri","South",896,0.25,89.6,"Tamil Nadu",808.421052631579,2016-10-11
"OD5","Ridhesh","Food Grains","Organic Staples","Ooty","South",2355,0.26,918.45,"Tamil Nadu",1440.29476639262,2016-10-11
"OD6","Adavan","Food Grains","Organic Staples","Dharmapuri","West",2305,0.26,322.7,"Tamil Nadu",1987.46741527973,2015-06-09
"OD7","Jonas","Fruits & Veggies","Fresh Vegetables","Trichy","West",826,0.33,346.92,"Tamil Nadu",480.666198454901,2015-06-09
"OD8","Hafiz","Fruits & Veggies","Fresh Fruits","Ramanadhapuram","West",1847,0.32,147.76,"Tamil Nadu",1704.69502407705,2015-06-09
"OD9","Hafiz","Bakery","Biscuits","Tirunelveli","West",791,0.23,181.93,"Tamil Nadu",610.474090407938,2015-06-09
"OD10","Krithika","Bakery","Cakes","Chennai","West",1795,0.27,484.65,"Tamil Nadu",1313.89752331294,2015-06-09
"OD11","Ganesh","Snacks","Chocolates","Karur","West",1903,0.13,437.69,"Tamil Nadu",1467.21738259738,2015-06-09
"OD12","Yadav","Eggs, Meat & Fish","Eggs","Namakkal","West",701,0.1,308.44,"Tamil Nadu",392.952952952953,2015-06-09
"OD13","Sharon","Snacks","Cookies","Dindigul","South",1659,0.19,315.21,"Tamil Nadu",1346.3480613165,2018-04-15
"OD14","Peer","Fruits & Veggies","Fresh Vegetables","Kanyakumari","West",1277,0.25,63.85,"Tamil Nadu",1216.19047619048,2017-12-05
"OD15","Sundar","Eggs, Meat & Fish","Chicken","Kanyakumari","Central",831,0.22,207.75,"Tamil Nadu",624.624173180998,2016-11-22
"OD16","Ramesh","Oil & Masala","Edible Oil & Ghee","Krishnagiri","Central",1440,0.11,100.8,"Tamil Nadu",1340.67474221644,2016-11-22
"OD17","Alan","Bakery","Cakes","Dharmapuri","Central",1678,0.28,318.82,"Tamil Nadu",1362.9963898917,2015-11-11
"OD18","Arutra","Beverages","Health Drinks","Bodi","West",1617,0.19,113.19,"Tamil Nadu",1506.67267808837,2015-05-13
"OD19","Haseena","Eggs, Meat & Fish","Mutton","Tenkasi","West",1757,0.35,386.54,"Tamil Nadu",1375.27345709985,2015-08-27
"OD20","Verma","Beverages","Soft Drinks","Kanyakumari","West",692,0.29,159.16,"Tamil Nadu",534.389730217631,2015-08-27
"OD21","Hafiz","Beverages","Health Drinks","Vellore","West",522,0.19,208.8,"Tamil Nadu",313.796212804328,2015-08-27
"OD22","Alan","Food Grains","Dals & Pulses","Karur","Central",948,0.13,47.4,"Tamil Nadu",901.772303995194,2017-12-09
"OD23","Haseena","Beverages","Soft Drinks","Krishnagiri","Central",707,0.34,148.47,"Tamil Nadu",560.435480634156,2017-12-09
"OD24","Alan","Fruits & Veggies","Organic Vegetables","Tenkasi","East",969,0.29,77.52,"Tamil Nadu",894.072811152342,2018-07-16
"OD25","Sharon","Eggs, Meat & Fish","Eggs","Ooty","West",1100,0.11,495,"Tamil Nadu",605.666232856142,2016-09-25
"OD26","Krithika","Snacks","Chocolates","Tirunelveli","West",2022,0.11,202.2,"Tamil Nadu",1821.80398438282,2017-01-16
"OD27","Muneer","Snacks","Cookies","Trichy","West",541,0.12,43.28,"Tamil Nadu",498.317981577893,2017-01-16
"OD28","Jackson","Bakery","Biscuits","Viluppuram","East",979,0.22,401.39,"Tamil Nadu",578.883543796352,2016-09-17
"OD29","Veronica","Beverages","Soft Drinks","Krishnagiri","East",1988,0.22,874.72,"Tamil Nadu",1115.73461615554,2016-09-17
"OD30","Shah","Oil & Masala","Masalas","Kanyakumari","East",989,0.17,69.23,"Tamil Nadu",921.336271661825,2016-09-17
"OD31","Ramesh","Beverages","Soft Drinks","Dharmapuri","East",1845,0.24,166.05,"Tamil Nadu",1682.98917401764,2016-09-17
"OD32","Mathew","Snacks","Noodles","Vellore","East",1400,0.11,420,"Tamil Nadu",981.079187105816,2016-09-17
"OD33","Akash","Oil & Masala","Edible Oil & Ghee","Trichy","East",2163,0.26,670.53,"Tamil Nadu",1496.36053739723,2016-09-17
